recipe_name,calories_per_serving,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg,saturated_fat_g,cholesterol_mg,ingredients,instructions,cook_time_min,prep_time_min,total_time_min,meal_type,diet_type,cuisine_type,difficulty_level,servings,image_url
"Quinoa Power Bowl",420,18,52,14,8,6,380,2,0,"quinoa,black beans,avocado,cherry tomatoes,cucumber,lime,olive oil","Cook quinoa|Mix beans and vegetables|Add dressing|Serve fresh",15,10,25,lunch,Vegetarian,Mediterranean,Easy,2,"/images/quinoa-bowl.jpg"
"Grilled Chicken Salad",320,35,8,16,4,4,420,4,85,"chicken breast,mixed greens,cherry tomatoes,cucumber,olive oil,lemon","Grill chicken|Prepare salad|Add dressing|Serve",12,15,27,lunch,Non-Vegetarian,American,Easy,1,"/images/chicken-salad.jpg"
"Avocado Toast Deluxe",380,12,35,22,12,3,450,3,0,"whole grain bread,avocado,cherry tomatoes,feta cheese,olive oil,herbs","Toast bread|Mash avocado|Add toppings|Serve",5,8,13,breakfast,Vegetarian,Modern,Easy,1,"/images/avocado-toast.jpg"
"Protein Smoothie Bowl",290,25,28,8,6,18,180,2,5,"protein powder,banana,berries,almond milk,chia seeds,honey","Blend ingredients|Pour in bowl|Add toppings|Serve",3,5,8,breakfast,Vegetarian,Health,Easy,1,"/images/smoothie-bowl.jpg"
"Lentil Curry",350,16,45,12,14,8,520,2,0,"red lentils,coconut milk,onion,garlic,ginger,spices,tomatoes","Sauté aromatics|Add lentils and liquid|Simmer|Serve with rice",25,15,40,dinner,Vegetarian,Indian,Medium,4,"/images/lentil-curry.jpg"
"Salmon Teriyaki",420,38,18,22,2,14,680,5,75,"salmon fillet,teriyaki sauce,broccoli,brown rice,sesame seeds","Marinate salmon|Grill fish|Steam vegetables|Serve",18,20,38,dinner,Non-Vegetarian,Japanese,Medium,2,"/images/salmon-teriyaki.jpg"
"Greek Yogurt Parfait",250,15,32,6,4,24,85,4,15,"greek yogurt,granola,mixed berries,honey,almonds","Layer yogurt|Add granola|Top with berries|Drizzle honey",2,5,7,breakfast,Vegetarian,Greek,Easy,1,"/images/yogurt-parfait.jpg"
"Veggie Stir Fry",280,8,38,12,6,12,450,2,0,"mixed vegetables,tofu,soy sauce,garlic,ginger,sesame oil","Heat oil|Stir fry vegetables|Add sauce|Serve hot",12,15,27,dinner,Vegetarian,Asian,Easy,3,"/images/veggie-stir-fry.jpg"
"Turkey Wrap",390,28,42,14,8,4,720,4,45,"whole wheat tortilla,turkey breast,hummus,vegetables,cheese","Spread hummus|Add fillings|Roll wrap|Slice and serve",5,10,15,lunch,Non-Vegetarian,American,Easy,1,"/images/turkey-wrap.jpg"
"Chia Pudding",220,8,24,12,10,16,120,1,0,"chia seeds,almond milk,vanilla,maple syrup,berries","Mix ingredients|Refrigerate overnight|Add toppings|Serve",0,5,480,breakfast,Vegetarian,Health,Easy,2,"/images/chia-pudding.jpg"
"Paneer Tikka Bowl",410,22,30,22,5,6,540,6,35,"paneer,capsicum,onion,curd,spices,lemon,olive oil","Marinate paneer|Grill|Assemble bowl|Serve",15,15,30,lunch,Vegetarian,Indian,Easy,2,"/images/paneer-tikka.jpg"
"Egg Veg Scramble",260,18,12,16,3,3,360,4,190,"eggs,spinach,tomato,onion,olive oil,salt,pepper","Chop veggies|Scramble eggs|Mix and cook|Serve hot",6,5,11,breakfast,Non-Vegetarian,Modern,Easy,1,"/images/egg-scramble.jpg"
"Oats Banana Pancakes",330,12,48,10,6,14,220,2,35,"oats,banana,egg,milk,cinnamon,honey","Blend batter|Cook pancakes|Serve with toppings",10,8,18,breakfast,Vegetarian,American,Easy,2,"/images/oats-pancake.jpg"
"Rajma Rice Bowl",460,18,70,10,12,6,620,2,0,"kidney beans,rice,tomato,onion,spices,ginger,garlic","Cook rajma|Cook rice|Combine|Serve",25,15,40,lunch,Vegetarian,Indian,Medium,2,"/images/rajma-rice.jpg"
"Tofu Buddha Bowl",390,20,45,14,9,6,410,2,0,"tofu,brown rice,carrot,cucumber,edamame,sesame dressing","Cook rice|Pan fry tofu|Assemble bowl|Serve",15,15,30,lunch,Vegetarian,Asian,Easy,2,"/images/tofu-bowl.jpg"
"Chicken Burrito Bowl",520,38,55,18,8,6,740,5,95,"chicken,rice,beans,corn,salsa,lettuce,cheese","Cook chicken|Assemble bowl|Add salsa|Serve",18,15,33,dinner,Non-Vegetarian,Mexican,Medium,2,"/images/burrito-bowl.jpg"
"Moong Dal Khichdi",340,14,52,8,8,3,380,1,0,"moong dal,rice,ghee,cumin,turmeric,vegetables","Pressure cook|Temper spices|Mix and serve",20,10,30,dinner,Vegetarian,Indian,Easy,3,"/images/khichdi.jpg"
"Berry Chia Smoothie",240,10,30,8,8,14,160,1,0,"berries,chia seeds,yogurt,milk,honey","Blend|Pour|Serve chilled",2,5,7,breakfast,Vegetarian,Health,Easy,1,"/images/berry-chia.jpg"
"Veg Hummus Sandwich",360,14,44,14,9,5,520,2,0,"whole grain bread,hummus,cucumber,tomato,lettuce,cheese","Toast bread|Spread hummus|Add veggies|Serve",4,8,12,lunch,Vegetarian,Mediterranean,Easy,1,"/images/hummus-sandwich.jpg"
"Masala Dosa",320,8,58,6,4,3,480,1,0,"rice,urad dal,potato,onion,spices,curry leaves","Prepare batter|Make dosa|Add filling|Serve hot",15,20,35,breakfast,Vegetarian,South Indian,Medium,2,"/images/masala-dosa.jpg"
"Chicken Tikka Masala",450,32,12,28,2,8,720,8,95,"chicken,tomato,cream,spices,onion,garlic","Marinate chicken|Grill|Prepare gravy|Simmer|Serve",25,20,45,dinner,Non-Vegetarian,Indian,Medium,3,"/images/chicken-tikka-masala.jpg"
"Vegetable Biryani",380,12,65,8,5,4,580,2,0,"basmati rice,mixed vegetables,yogurt,spices,saffron","Cook rice|Prepare vegetables|Layer|Dum cook|Serve",30,25,55,dinner,Vegetarian,Indian,Medium,4,"/images/veg-biryani.jpg"
"Fish Curry",360,28,8,22,1,3,560,6,75,"fish,coconut milk,curry leaves,spices,tomato","Marinate fish|Prepare curry|Add fish|Simmer|Serve",20,15,35,dinner,Non-Vegetarian,South Indian,Medium,3,"/images/fish-curry.jpg"
"Poha",210,5,32,6,3,2,350,1,0,"flattened rice,onion,peas,peanuts,turmeric,curry leaves","Wash poha|Temper spices|Add vegetables|Mix|Serve",10,15,25,breakfast,Vegetarian,Indian,Easy,2,"/images/poha.jpg"
"Scrambled Eggs Toast",280,18,22,14,3,2,420,4,190,"eggs,bread,butter,salt,pepper,herbs","Beat eggs|Scramble|Toast bread|Serve together",8,5,13,breakfast,Non-Vegetarian,Continental,Easy,1,"/images/scrambled-eggs-toast.jpg"
"Chole Bhature",520,16,68,18,12,6,680,4,0,"chickpeas,flour,yogurt,spices,oil","Cook chole|Make bhature|Deep fry|Serve hot",35,30,65,lunch,Vegetarian,North Indian,Hard,3,"/images/chole-bhature.jpg"
"Grilled Fish Salad",290,32,6,14,3,3,380,3,70,"fish fillet,mixed greens,lemon,olive oil,herbs","Grill fish|Prepare salad|Add dressing|Serve",15,10,25,lunch,Non-Vegetarian,Mediterranean,Easy,2,"/images/grilled-fish-salad.jpg"
"Aloo Paratha",350,8,48,12,4,3,450,3,15,"wheat flour,potato,spices,ghee","Make dough|Prepare filling|Roll|Cook on tawa|Serve",15,20,35,breakfast,Vegetarian,North Indian,Medium,2,"/images/aloo-paratha.jpg"
"Chicken Fried Rice",420,25,52,12,2,4,680,3,75,"rice,chicken,vegetables,soy sauce,eggs","Cook rice|Stir fry chicken|Add vegetables|Mix|Serve",15,15,30,lunch,Non-Vegetarian,Chinese,Easy,3,"/images/chicken-fried-rice.jpg"
"Palak Paneer",290,14,12,20,6,4,460,6,25,"spinach,paneer,onion,garlic,spices,cream","Blanch spinach|Prepare gravy|Add paneer|Simmer|Serve",20,25,45,dinner,Vegetarian,North Indian,Medium,3,"/images/palak-paneer.jpg"
